orden_tabla,variable,bloque_tematico
479,Educacion | Alumnado de Ciclos Formativos de Grado Medio según titularidad del centro y curso por distrito. Curso 20242025 | Segundo | Total,Educacion
480,Educacion | Alumnado de Ciclos Formativos de Grado Medio según titularidad del centro y curso por distrito. Curso 20242025 | Primero | Total,Educacion
481,Educacion | Alumnado de Ciclos Formativos de Grado Medio según titularidad del centro y curso por distrito. Curso 20242025 | Privados,"Movilidad, seguridad y convivencia"
482,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior por distrito. Curso 20242025 | Total,Educacion
483,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior por distrito. Curso 20242025 | Mujeres,Educacion
484,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior por distrito. Curso 20242025 | Sexo | Hombres,Educacion
485,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
486,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior por distrito. Curso 20242025 | Privado,Educacion
487,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | América del Sur,Educacion
488,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | Asia y Oceanía,Educacion
489,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | Total,Educacion
490,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | Continente Nacionalidad | Europa,Educacion
491,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | Mujeres,Educacion
492,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | América del Norte y Central,Educacion
493,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | Privado,Educacion
494,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | Sexo | Hombres,Educacion
495,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | África,Educacion
496,Educacion | Características generales del alumnado de Ciclos Formativos de Grado Superior de nacionalidad extranjera por distrito. Curso 20232023 | Titularidad del centro | Público,Educacion
497,Educacion | Centros y Unidades de Ciclos Formativos de Grado Superior según titularidad del centro Distritos. Curso 20242025 | Privados,"Movilidad, seguridad y convivencia"
498,Educacion | Centros y Unidades de Ciclos Formativos de Grado Superior según titularidad del centro Distritos. Curso 20242025 | Centros | Total,Educacion
499,Educacion | Centros y Unidades de Ciclos Formativos de Grado Superior según titularidad del centro Distritos. Curso 20242025 | Públicos,Educacion
500,Educacion | Centros y Unidades de Ciclos Formativos de Grado Superior según titularidad del centro Distritos. Curso 20242025 | Alumnado por unidad | Total,Educacion
501,Educacion | Centros y Unidades de Ciclos Formativos de Grado Superior según titularidad del centro Distritos. Curso 20242025 | Unidades | Total,Educacion
502,Educacion | Alumnado de Ciclos Formativos de Grado Superior según titularidad del centro y curso por distrito. Curso 20242025 | Total Alumnado,Educacion
503,Educacion | Alumnado de Ciclos Formativos de Grado Superior según titularidad del centro y curso por distrito. Curso 20242025 | Públicos,Educacion
504,Educacion | Alumnado de Ciclos Formativos de Grado Superior según titularidad del centro y curso por distrito. Curso 20242025 | Segundo | Total,Educacion
505,Educacion | Alumnado de Ciclos Formativos de Grado Superior según titularidad del centro y curso por distrito. Curso 20242025 | Primero | Total,Educacion
506,Educacion | Alumnado de Ciclos Formativos de Grado Superior según titularidad del centro y curso por distrito. Curso 20242025 | Privados,"Movilidad, seguridad y convivencia"
507,Educacion | Centros y Unidades de Preescolar Educación Infantil según tipo de centro por distrito. Curso 20242025 | Alumnado por unidad | Total,Educacion
508,Educacion | Centros y Unidades de Preescolar Educación Infantil según tipo de centro por distrito. Curso 20242025 | Privados Concertados,"Movilidad, seguridad y convivencia"
509,Educacion | Centros y Unidades de Preescolar Educación Infantil según tipo de centro por distrito. Curso 20242025 | Públicos,Educacion
510,Educacion | Centros y Unidades de Preescolar Educación Infantil según tipo de centro por distrito. Curso 20242025 | Centros | Total,Educacion
511,Educacion | Centros y Unidades de Preescolar Educación Infantil según tipo de centro por distrito. Curso 20242025 | Privados no Concertados,"Movilidad, seguridad y convivencia"
512,Educacion | Centros y Unidades de Preescolar Educación Infantil según tipo de centro por distrito. Curso 20242025 | Unidades | Total,Educacion
513,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | Privados no Concertados,"Movilidad, seguridad y convivencia"
514,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | 0-2 Años | Total,Educacion
515,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | Públicos,Educacion
516,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | 3 Años | Total,Educacion
517,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | Privados Concertados,"Movilidad, seguridad y convivencia"
518,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | Unidades mixtas de segundo ciclo (3-5 Años) | Total,Educacion
519,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | 5 Años | Total,Educacion
520,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | Total alumnado,Educacion
521,Educacion | Alumnado de Preescolar Educación Infantil según tipo de centro y curso por distrito. Curso 20242025 | 4 Años | Total,Educacion
522,Educacion | Características generales del alumnado de Primaria por distrito. Curso 20242025 | Total,Educacion
523,Educacion | Características generales del alumnado de Primaria por distrito. Curso 20242025 | Mujeres,Educacion
524,Educacion | Características generales del alumnado de Primaria por distrito. Curso 20242025 | Sexo | Hombres,Educacion
525,Educacion | Características generales del alumnado de Primaria por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
526,Educacion | Características generales del alumnado de Primaria por distrito. Curso 20242025 | Privado,Educacion
527,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | América del Sur,Educacion
528,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | No consta,Educacion
529,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | Asia y Oceanía,Educacion
530,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | Total,Educacion
531,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | Continente de Nacionalidad | Europa,Educacion
532,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | Mujeres,Educacion
533,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | América del Norte y Central,Educacion
534,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | Privado,Educacion
535,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | Sexo | Hombres,Educacion
536,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | África,Educacion
537,Educacion | Características generales del alumnado de Primaria de nacionalidad extranjera por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
538,Educacion | Centros y Unidades de Primaria según tipo de centro por distrito. Curso 20242025 | Privados,"Movilidad, seguridad y convivencia"
539,Educacion | Centros y Unidades de Primaria según tipo de centro por distrito. Curso 20242025 | Centros | Total,Educacion
540,Educacion | Centros y Unidades de Primaria según tipo de centro por distrito. Curso 20242025 | Públicos,Educacion
541,Educacion | Centros y Unidades de Primaria según tipo de centro por distrito. Curso 20242025 | Alumnado por unidad | Total,Educacion
542,Educacion | Centros y Unidades de Primaria según tipo de centro por distrito. Curso 20242025 | Unidades | Total,Educacion
543,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Concertados,Educacion
544,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Primero | Total,Educacion
545,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Públicos,Educacion
546,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Segundo | Total,Educacion
547,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Tercero | Total,Educacion
548,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Sexto | Total,Educacion
549,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Cuarto | Total,Educacion
550,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Quinto | Total,Educacion
551,Educacion | Alumnado de Primaria según tipo de centro y curso por distrito. Curso 20242025 | Total alumnado,Educacion
552,Educacion | Características generales del alumnado de ESO por distrito. Curso 20242025 | Total,Educacion
553,Educacion | Características generales del alumnado de ESO por distrito. Curso 20242025 | Mujeres,Educacion
554,Educacion | Características generales del alumnado de ESO por distrito. Curso 20242025 | Sexo | Hombres,Educacion
555,Educacion | Características generales del alumnado de ESO por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
556,Educacion | Características generales del alumnado de ESO por distrito. Curso 20242025 | Privado,Educacion
557,Bienestar social | Asociaciones según distrito y tipo. 2024 | No consta,"Servicios, equipamientos y bienestar"
558,Bienestar social | Asociaciones según distrito y tipo. 2024 | Total,"Servicios, equipamientos y bienestar"
559,Bienestar social | Asociaciones según distrito y tipo. 2024 | Otras Participación Social,"Servicios, equipamientos y bienestar"
560,Bienestar social | Asociaciones según distrito y tipo. 2024 | Asistencia Social,"Servicios, equipamientos y bienestar"
561,Bienestar social | Asociaciones según distrito y tipo. 2024 | Otras,"Servicios, equipamientos y bienestar"
562,Bienestar social | Asociaciones según distrito y tipo. 2024 | Profesionales y Económicas,"Servicios, equipamientos y bienestar"
563,Bienestar social | Asociaciones según distrito y tipo. 2024 | Culturales,"Servicios, equipamientos y bienestar"
564,Bienestar social | Asociaciones según distrito y tipo. 2024 | Deportivas,"Servicios, equipamientos y bienestar"
565,Bienestar social | Asociaciones según distrito y tipo. 2024 | Otras Fiestas y Recreativas,"Servicios, equipamientos y bienestar"
566,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Población 0 a 5 años,Educacion
567,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Cheques concedidos,Educacion
568,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | %,Educacion
569,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Cobertura,Educacion
570,Bienestar social | Recursos por distrito y sector de población. 2025 | Toda la población,Demografia y estructura social
571,Bienestar social | Recursos por distrito y sector de población. 2025 | Conductas adictivas,Demografia y estructura social
572,"Bienestar social | Recursos por distrito y sector de población. 2025 | Familia, Menores y Adopciones",Demografia y estructura social
573,Bienestar social | Recursos por distrito y sector de población. 2025 | Inmigración,Demografia y estructura social
574,Bienestar social | Recursos por distrito y sector de población. 2025 | Enfermedad Mental,Demografia y estructura social
575,Bienestar social | Recursos por distrito y sector de población. 2025 | Dependencia,Demografia y estructura social
576,Bienestar social | Recursos por distrito y sector de población. 2025 | Discapacidad,Demografia y estructura social
577,Bienestar social | Recursos por distrito y sector de población. 2025 | Mayores,Demografia y estructura social
578,Bienestar social | Recursos por distrito y sector de población. 2025 | Personas presas y exreclusas,Demografia y estructura social
579,Bienestar social | Recursos por distrito y sector de población. 2025 | Juventud,Demografia y estructura social
580,Bienestar social | Recursos por distrito y sector de población. 2025 | Total,Demografia y estructura social
581,Bienestar social | Recursos por distrito y sector de población. 2025 | Sin techo,Demografia y estructura social
582,Bienestar social | Recursos por distrito y sector de población. 2025 | Mujeres,Demografia y estructura social
583,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Solicitantes","Economia, renta y vulnerabilidad material"
584,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Renta familiar media","Economia, renta y vulnerabilidad material"
585,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Porcentaje de concedidos","Economia, renta y vulnerabilidad material"
586,Pobreza 2025 movil | No [%],"Economia, renta y vulnerabilidad material"
587,Pobreza 2025 imprevisto 650 EUR | No [%],"Economia, renta y vulnerabilidad material"
588,Pobreza 2025 comer fuera mensual | No [%],"Economia, renta y vulnerabilidad material"
589,Pobreza 2025 lavadora | No [%],"Movilidad, seguridad y convivencia"
590,Pobreza infantil 2021 | Tasa distrito [%],"Economia, renta y vulnerabilidad material"
