orden_tabla,variable,bloque_tematico
303,Edificacion vivienda 2025 solares | Superficie total [m2],"Vivienda, urbanismo y entorno construido"
304,Edificacion vivienda 2025 solares | Superficie media [m2],"Vivienda, urbanismo y entorno construido"
305,Edificacion vivienda 2025 solares | Valor total [EUR],"Vivienda, urbanismo y entorno construido"
306,Edificacion vivienda 2025 solares | Valor medio [EUR],"Vivienda, urbanismo y entorno construido"
307,Edificacion vivienda 2025 solares | Valor medio m2 [EUR],"Vivienda, urbanismo y entorno construido"
308,Edificacion vivienda 2025 aparcamientos | Superficie total [m2],"Movilidad, seguridad y convivencia"
309,Edificacion vivienda 2025 parcelas urbanas | Total [n],"Vivienda, urbanismo y entorno construido"
310,Edificacion vivienda 2025 parcelas urbanas | <=100m2 [n],"Vivienda, urbanismo y entorno construido"
311,Edificacion vivienda 2025 parcelas urbanas | 101_500m2 [n],"Vivienda, urbanismo y entorno construido"
312,Edificacion vivienda 2025 parcelas urbanas | 501_1000m2 [n],"Vivienda, urbanismo y entorno construido"
313,Edificacion vivienda 2025 parcelas urbanas | 1001_10000m2 [n],"Vivienda, urbanismo y entorno construido"
314,Edificacion vivienda 2025 parcelas urbanas | >10000m2 [n],"Vivienda, urbanismo y entorno construido"
315,Edificacion vivienda 2025 parcelas urbanas | Superficie total [m2],"Vivienda, urbanismo y entorno construido"
316,Edificacion vivienda 2025 valor catastral medio | Numero inmuebles [n],"Economia, renta y vulnerabilidad material"
317,Edificacion vivienda 2025 valor catastral medio | Valor total medio [EUR],"Economia, renta y vulnerabilidad material"
318,Edificacion vivienda 2025 valor catastral medio | Valor medio m2 [EUR],"Economia, renta y vulnerabilidad material"
319,Voto 2023 autonomicas | PP [% candidaturas],Demografia y estructura social
320,Voto 2023 autonomicas | PSOE [% candidaturas],Demografia y estructura social
321,Voto 2023 autonomicas | COMPROMÍS [% candidaturas],Demografia y estructura social
322,Voto 2023 autonomicas | VOX [% candidaturas],Demografia y estructura social
323,Voto 2023 autonomicas | UNIDES_PODEM [% candidaturas],Demografia y estructura social
324,Voto 2023 autonomicas | C's [% candidaturas],Demografia y estructura social
325,Voto 2023 autonomicas | Otros [% candidaturas],Demografia y estructura social
326,Voto 2024 europeas | PP [% validos],Demografia y estructura social
327,Voto 2024 europeas | PSOE [% validos],Demografia y estructura social
328,Voto 2024 europeas | VOX [% validos],Demografia y estructura social
329,Voto 2024 europeas | COMPROMÍS_SUMAR [% validos],Demografia y estructura social
330,Voto 2024 europeas | SE_ACABÓ_LA_FIESTA [% validos],Demografia y estructura social
331,Voto 2024 europeas | PODEMOS [% validos],Demografia y estructura social
332,Voto 2024 europeas | Otros [% validos],Demografia y estructura social
333,Voto 2023 generales | PP [% validos],Demografia y estructura social
334,Voto 2023 generales | PSOE [% validos],Demografia y estructura social
335,Voto 2023 generales | SUMAR_COMPROMÍS [% validos],Demografia y estructura social
336,Voto 2023 generales | VOX [% validos],Demografia y estructura social
337,Voto 2023 generales | Otros [% validos],Demografia y estructura social
338,Voto 2023 municipales | PP [% candidaturas],Demografia y estructura social
339,Voto 2023 municipales | COMPROMÍS_MUNICIPAL [% candidaturas],Demografia y estructura social
340,Voto 2023 municipales | PSOE [% candidaturas],Demografia y estructura social
341,Voto 2023 municipales | VOX [% candidaturas],Demografia y estructura social
342,Voto 2023 municipales | PODEM___EUPV [% candidaturas],Demografia y estructura social
343,Voto 2023 municipales | Cs [% candidaturas],Demografia y estructura social
344,Voto 2023 municipales | Otros [% candidaturas],Demografia y estructura social
345,Medio ambiente 2024 | Juegos infantiles zonas [n],"Servicios, equipamientos y bienestar"
346,Cultura y Ocio 2025 | Clubs federados [n],"Servicios, equipamientos y bienestar"
347,Medio ambiente 2024 | Zonas verdes gestion municipal [n],Medio ambiente y calidad urbana
348,Medio ambiente 2024 | Zonas verdes gestion municipal superficie [m2],Medio ambiente y calidad urbana
349,Medio ambiente 2024 | Escombros contenedores total [n],Medio ambiente y calidad urbana
350,Recursos municipales 2025 edificios | Total [n],"Servicios, equipamientos y bienestar"
351,Recursos municipales 2025 edificios | Centros escolares municipales [n],"Servicios, equipamientos y bienestar"
352,Recursos municipales 2025 edificios | Suelo edificable [n],"Servicios, equipamientos y bienestar"
353,Recursos municipales 2025 edificios | Mercados [n],"Servicios, equipamientos y bienestar"
354,Recursos municipales 2025 edificios | Otros [n],"Servicios, equipamientos y bienestar"
355,Recursos municipales 2025 edificios | Edificios y locales publicos [n],"Servicios, equipamientos y bienestar"
356,Recursos municipales 2025 edificios | Fincas urbanas [n],"Servicios, equipamientos y bienestar"
357,Recursos municipales 2024 | Sugerencias quejas y reclamaciones [%],"Servicios, equipamientos y bienestar"
358,Recursos municipales 2025 parcela edificios | Total [m2 parcela],"Servicios, equipamientos y bienestar"
359,Recursos municipales 2025 parcela edificios | Centros escolares municipales [m2 parcela],"Servicios, equipamientos y bienestar"
360,Recursos municipales 2025 parcela edificios | Suelo edificable [m2 parcela],"Servicios, equipamientos y bienestar"
361,Recursos municipales 2025 parcela edificios | Mercados [m2 parcela],"Servicios, equipamientos y bienestar"
362,Recursos municipales 2025 parcela edificios | Otros [m2 parcela],"Servicios, equipamientos y bienestar"
363,Recursos municipales 2025 parcela edificios | Edificios y locales publicos [m2 parcela],"Servicios, equipamientos y bienestar"
364,Recursos municipales 2025 parcela edificios | Fincas urbanas [m2 parcela],"Servicios, equipamientos y bienestar"
365,Recursos municipales 2025 edificios construidos | Total [m2 construidos],"Vivienda, urbanismo y entorno construido"
366,Recursos municipales 2025 edificios construidos | Centros escolares municipales [m2 construidos],"Vivienda, urbanismo y entorno construido"
367,Recursos municipales 2025 edificios construidos | Suelo edificable [m2 construidos],"Vivienda, urbanismo y entorno construido"
368,Recursos municipales 2025 edificios construidos | Mercados [m2 construidos],"Vivienda, urbanismo y entorno construido"
369,Recursos municipales 2025 edificios construidos | Otros [m2 construidos],"Vivienda, urbanismo y entorno construido"
370,Recursos municipales 2025 edificios construidos | Edificios y locales publicos [m2 construidos],"Vivienda, urbanismo y entorno construido"
371,Recursos municipales 2025 edificios construidos | Fincas urbanas [m2 construidos],"Vivienda, urbanismo y entorno construido"
372,Recursos municipales 2024 policia local | Servicios totales [n],"Servicios, equipamientos y bienestar"
373,Recursos municipales 2024 bomberos | Servicios totales [n],"Servicios, equipamientos y bienestar"
374,Recursos municipales 2025 valor edificios | Total [EUR],"Servicios, equipamientos y bienestar"
375,Recursos municipales 2025 valor edificios | Centros escolares municipales [EUR],"Servicios, equipamientos y bienestar"
376,Recursos municipales 2025 valor edificios | Suelo edificable [EUR],"Servicios, equipamientos y bienestar"
377,Recursos municipales 2025 valor edificios | Mercados [EUR],"Servicios, equipamientos y bienestar"
378,Recursos municipales 2025 valor edificios | Otros [EUR],"Servicios, equipamientos y bienestar"
379,Recursos municipales 2025 valor edificios | Edificios y locales publicos [EUR],"Servicios, equipamientos y bienestar"
380,Recursos municipales 2025 valor edificios | Fincas urbanas [EUR],"Servicios, equipamientos y bienestar"
381,Renta consumo precios 2024 | Indice sintetico de consumos e infraestructuras urbanas [z-media],Medio ambiente y calidad urbana
382,Educacion | Características generales del alumnado de Preescolar Educación Infantil por distrito. Curso 20242025 | Total,Educacion
383,Educacion | Características generales del alumnado de Preescolar Educación Infantil por distrito. Curso 20242025 | Mujeres,Educacion
384,Educacion | Características generales del alumnado de Preescolar Educación Infantil por distrito. Curso 20242025 | Sexo | Hombres,Educacion
385,Educacion | Características generales del alumnado de Preescolar Educación Infantil por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
386,Educacion | Características generales del alumnado de Preescolar Educación Infantil por distrito. Curso 20242025 | Privado,Educacion
387,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | América del Sur,Educacion
388,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | No consta,Educacion
389,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | Asia y Oceanía,Educacion
390,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | Total,Educacion
391,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | Continente de Nacionalidad | Europa,Educacion
392,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | Mujeres,Educacion
393,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | América del Norte y Central,Educacion
394,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | Privado,Educacion
395,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | Sexo | Hombres,Educacion
396,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | África,Educacion
397,Educacion | Características generales del alumnado de ESO de nacionalidad extranjera por distrito. Curso 20242025 | Titularidad del centro | Público,Educacion
398,Educacion | Centros y Unidades de ESO según titularidad del centro por distrito. Curso 20242025 | Privados,"Movilidad, seguridad y convivencia"
399,Educacion | Centros y Unidades de ESO según titularidad del centro por distrito. Curso 20242025 | Centros | Total,Educacion
