bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio
Otros / politica y demografia residual,,,,"2,19",,,Politica - Ciudadanos [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"5,39",,,Politica - Se Acabo La Fiesta [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"2,43",,,Politica - Otros partidos [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"44,98",,,Politica - Bloque izquierda PSOE_Compromis_Podemos [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"52,59",,,Politica - Bloque derecha PP_VOX_Cs_SALF [% votos candidaturas media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"-0,38",,,Demografia - Crecimiento vegetativo [por_1000_hab],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"2,33",,,Demografia - Personas por hogar [media],variable derivada v15; media distrital orientativa
Otros / politica y demografia residual,,,,"1,27",,,Demografia - Poblacion emigrante [% poblacion],variable derivada v15; media distrital orientativa
Sociedad y Bienestar / demografia secundaria,,,,"25,82",,,Demografia - Indice de aloctonia estatal [2025],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"14,43",,,Demografia - Indice de sobre-envejecimiento [2025],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"53,06",,,Demografia - Indice demografico de dependencia [2025],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"173,85",,,Demografia - Indice de envejecimiento [2025],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"8,02",,,Demografia - Hogares con dos menores de 18 anos [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"1,91",,,Demografia - Hogares con tres o mas menores de 18 anos [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"27,26",,,Demografia - Hogares de 2 personas [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"6,6",,,Demografia - Hogares de 5 o mas personas [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"21,85",,,Demografia - Hogares solo personas mayores de 64 anos [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"6,94",,,Demografia - Hogares solo personas mayores de 79 anos [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"35,32",,,Demografia - Hogares unipersonales [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"2,32",,,Demografia - Poblacion inmigrante [% poblacion],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"241,44",,,Demografia - Saldo neto [n],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"29,43",,,Demografia - Tasa general de fecundidad [2024],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"43,15",,,Demografia - Personas solteras [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"38,09",,,Demografia - Personas casadas [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"6,61",,,Demografia - Personas viudas [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"7,37",,,Demografia - Personas separadas o divorciadas [%],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"6,71",,,Demografia - Tasa bruta de natalidad [2024],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"39,04",,,Demografia - Tasa bruta de inmigracion intraurbana [2024],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"70,45",,,Demografia - Tasa bruta de inmigracion interurbana [2024],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"8,08",,,Demografia - Tasa bruta de mortalidad [2024],"variable traducida, normalizada o seleccionada frente a duplicados v17"
