refman,hoja,coorx,coory
48448,YJ2744D,724684.7,4374219.13
56412,YJ2754B,725522.52,4373987.42
69758,YJ2667F,726793.78,4367318.26
69756,YJ2667F,726836.82,4367327.02
71791,YJ2677G,726991.3,4367757.23
58412,YJ2754B,725742.03,4373986.22
57413,YJ2754B,725664.63,4373991.02
96248,YJ2792D,729507.25,4372250.94
95234,YJ2792D,729487.5,4372146.26
50449,YJ2754C,724940.57,4374241.35
49445,YJ2744D,724876.69,4374221.22
54825,YJ2658C,725290.06,4368103.62
95249,YJ2792D,729455.45,4372209.84
95248,YJ2792D,729406.33,4372246.56
94249,YJ2792C,729345.19,4372235.44
00394,YJ3703G,729965.03,4373714.02
98201,YJ2792B,729703.61,4371892.21
97215,YJ2792B,729667.9,4371893.04
97217,YJ2792B,729610.53,4371895.87
00377,YJ3703E,729906.17,4373451.92
00363,YJ3703E,729963.55,4373464.62
02283,YJ3702G,730115.05,4372616.49
01271,YJ3702G,730015.74,4372571.43
01277,YJ3702E,730015.59,4372513.31
01264,YJ3702E,730093.1,4372437.01
02258,YJ3702E,730096.76,4372322.11
01251,YJ3702E,730011.43,4372365.64
01258,YJ3702E,730029.13,4372327.38
70412,YJ2774A,726939.3,4373967.24
70426,YJ2774A,726986.71,4374015.33
70423,YJ2774C,726981.15,4374052.88
70435,YJ2774C,726946.11,4374091
69436,YJ2764D,726857.12,4374086.37
69412,YJ2764B,726823.24,4373991.91
65412,YJ2764B,726439.33,4373964.3
66418,YJ2764B,726501.04,4373950.23
67418,YJ2764B,726581.67,4373926.84
68417,YJ2764B,726703.58,4373928.52
66433,YJ2764D,726572.69,4374172.2
66453,YJ2764F,726582.01,4374385.51
67459,YJ2764F,726638.84,4374330.89
70441,YJ2774C,726922.98,4374278.69
69442,YJ2764D,726848.44,4374276.91
69448,YJ2764D,726817.38,4374235.3
70448,YJ2774C,726914.68,4374222.15
69433,YJ2764D,726876.97,4374162.66
71448,YJ2774C,726999.06,4374233.45
33099,YJ2730G,723201.68,4370769.43
32107,YJ2731A,723112.48,4370905.57
31108,YJ2731A,722995.24,4370848.64
34127,YJ2731A,723339.86,4371002.66
47842,YJ2648D,724628.14,4368294.57
29147,YJ2721D,722838.35,4371178.3
96063,YJ2790F,729493.16,4370464.97
